Name,longitude,latitude,country,continent
,6.0834596,50.7751128,Germany,Europe
,10.233301,56.1834853,Denmark,Europe
,31.6528559,30.0751267,Egypt,Africa
,-99.9001408,16.8833175,Mexico,North America
,-64.9466552,-33.1524698,Argentina,South America
,71.8135662,32.0655673,Pakistan,Asia
,not found,not found,not found,not found
,0.6166838,44.2158485,France,Europe
,-65.233333,-31.583333,Argentina,South America
,-64.5518751,-30.8614688,Argentina,South America
,-9.5098133,16.1176446,Mauritania,Africa
,8.4202829,19.0678966,Niger,Africa
,2.3315817,50.6640607,France,Europe
,35.2369122,29.52746,Jordan,Asia
