Aachen,50.775,6.08333
Aarhus,56.18333,10.23333
Abee,54.21667,-113
Acapulco,16.88333,-99.9
Achiras,-33.16667,-64.95
Adhi Kot,32.1,71.8
Adzhi-Bogdo (stone),44.83333,95.16667
Agen,44.21667,0.61667
Aguada,-31.6,-65.23333
Aguila Blanca,-30.86667,-64.55
Aioun el Atrouss,16.39806,-9.57028
Aïr,19.08333,8.38333
Aire-sur-la-Lys,50.66667,2.33333
Akaba,29.51667,35.05
Akbarpur,29.71667,77.95
Akwanga,8.91667,8.43333
Akyumak,39.91667,42.81667
Al Rais,24.41667,39.51667
Al Zarnkh,13.66033,28.96
Alais,44.11667,4.08333
Albareto,44.65,11.01667
Alberta,2,22.66667
Alby sur Chéran,45.82133,6.01533
Aldsworth,51.78333,-1.78333
Aleppo,36.23333,37.13333
Alessandria,44.88333,8.75
Alexandrovsky,50.95,31.81667
Alfianello,45.26667,10.15
Allegan,42.53333,-85.88333
Allende,26.96667,-105.31667
Almahata Sitta,20.74575,32.41275
Alta'ameem,35.27333,44.21556
Ambapur Nagla,27.66667,78.25
Andhara,26.58333,85.56667
Andover,44.61667,-70.75
Andreevka,48.7,37.5
Andura,20.88333,76.86667
Northwest Africa 5815,0,0
Angers,47.46667,-0.55
Angra dos Reis (stone),-22.96667,-44.31667
Ankober,9.53333,39.71667
Anlong,25.15,105.18333
Aomori,40.81056,140.78556
Appley Bridge,53.58333,-2.71667
Apt,43.86667,5.38333
Arbol Solo,-33,-66
Archie,38.5,-94.3
Arroyo Aguiar,-31.41667,-60.66667
Asco,42.45,9.03333
Ash Creek,31.805,-97.01
Ashdon,52.05,0.3
Assisi,43.03333,12.55
Atarra,25.25417,80.625
Atemajac,20.06667,-103.66667
Athens,34.75,-87
Atoka,34.31667,-96.15
Aubres,44.38333,5.16667
Aumale,36.16667,3.66667
Aumieres,44.33333,3.23333
Ausson,43.08333,0.58333
Avanhandava,-21.46028,-49.95083
Avce,46,13.5
Avilez,25,-103.5
Awere,2.71667,32.83333
Aztec,36.8,-108
Bachmut,48.6,38
Bahjoi,28.48333,78.5
Bald Mountain,35.96667,-82.48333
Baldwyn,34.5,-88.66667
Bali,5.38333,16.38333
Ban Rong Du,16.66667,101.18333
Bandong,-6.91667,107.6
Bansur,27.7,76.33333
Banswal,30.4,78.2
Banten,-6.33333,106
Barbotan,43.95,-0.05
Barcelona (stone),41.36667,2.16667
Barea,42.38333,-2.5
Barnaul,52.73333,84.08333
Barntrup,52,9.1
Baroti,31.61667,76.8
Barwell,52.56528,-1.33972
